rank,host,size,operation,t_start,t_end,duration
0,cpu01,4,read+filter,0.000001,1.189449,1.189448
1,cpu02,4,read+filter,0.000005,1.186333,1.186328
2,gpu01,4,read+filter,0.000006,1.185323,1.185316
3,gpu02,4,read+filter,0.000006,1.189097,1.189090
0,cpu01,4,redistribute,1.207083,2.397779,1.190696
1,cpu02,4,redistribute,1.200311,2.364769,1.164458
2,gpu01,4,redistribute,1.207184,2.344827,1.137643
3,gpu02,4,redistribute,1.207169,2.402523,1.195355
0,cpu01,4,final_compute,2.410315,2.728009,0.317693
1,cpu02,4,final_compute,2.368620,2.692407,0.323787
2,gpu01,4,final_compute,2.406440,2.825858,0.419418
3,gpu02,4,final_compute,2.406459,2.832532,0.426073
0,cpu01,4,reduce_min_delta,2.832952,2.842525,0.009573
1,cpu02,4,reduce_min_delta,2.692451,2.702784,0.010333
2,gpu01,4,reduce_min_delta,2.832668,2.840988,0.008320
3,gpu02,4,reduce_min_delta,2.832574,2.841006,0.008432
0,cpu01,4,program_total,0.000000,2.842706,2.842706
1,cpu02,4,program_total,0.000000,2.702791,2.702791
2,gpu01,4,program_total,0.000000,2.841009,2.841009
3,gpu02,4,program_total,0.000000,2.841013,2.841013
